<?xml version="1.0" encoding="UTF-8"?>Title| MMSID| ISSN | ISSN 
Activitas nervosa superior.|99157634890001452|18029698|18029698|
ActualitÃ©s pharmaceutiques.|99161967413301452|05153700|05153700|
Acupuncture &amp; related therapies.|99161967395401452|22117660|22117660|
Acupuncture in medicine: journal of the British Medical Acupuncture Society.|99157228710001452|09645284|09645284|
Acute cardiac care.|99157807290001452|17482941|17482941|
Acute care perspectives.|99158209220001452|15519147|15519147|
Acute medicine &amp; surgery.|99161766498201452|20528817|20528817|
Addiction biology [electronic resource].|99157805220001452|13556215|13556215|
Addiction research.|99157806770001452|10586989|10586989|
Addiction science &amp; clinical practice.|99157228940001452|19400632|19400632|
Addiction.|99157806340001452|09652140|09652140|
Addictive behaviors [electronic resource].|99158434660001452|03064603|03064603|
Addictive disorders &amp; their treatment.|99161941798201452|15315754|15315754|
Adicciones.|99157320910001452|02144840|02144840|
Adipocyte.|99161771336101452|21623945|21623945|
Administration and policy in mental health.|99158516630001452|0894587X|0894587X|
Adoption &amp; fostering.|99158191590001452|03085759|03085759|
Advanced drug delivery reviews [electronic resource].|99161967638201452|0169409X|0169409X|
Advanced emergency nursing journal.|99161941799301452|19314485|19314485|
Advanced healthcare materials.|99158523770001452|21922640|21922640|
Advanced materials [electronic resource].|99158526970001452|09359648|09359648|
Advanced pharmaceutical bulletin.|99157409430001452|22285881|22285881|
Advanced studies in medicine / Johns Hopkins University, School of Medicine.|99161966779501452|15303004|15303004|
Advanced studies in nursing / the Institute for Johns Hopkins Nursing.|99158210730001452|15580172|15580172|
Advanced studies in ophthalmology / the Wilmer Eye Institute.|99161966787301452|15580199|15580199|
Advanced studies in theoretical physics.|99142124520001452|13131311|13131311|
Advances in Digestive Medicine.|99161871075001452|23519797|23519797|
Advances in anatomic pathology [electronic resource].|99158506930001452|10724109|10724109|
Advances in biological regulation.|99161967531301452|22124926|22124926|
Advances in cell biology.|99160861000001452|20802218|20802218|
Advances in chronic kidney disease.|99158434110001452|15485595|15485595|
Advances in colloid and interface science.|99161967632401452|00018686|00018686|
Advances in dental research [electronic resource] / International Association for Dental Research, and American Association for Dental Research.|99157751070001452|08959374|08959374|
Advances in health sciences education.|99158514490001452|13824996|13824996|
Advances in hematology.|99157364200001452|16879104|16879104|
Advances in integrative medicine.|99161846355601452|22129588|22129588|
Advances in marine biology [electronic resource].|99161967422401452|00652881|00652881|
Advances in medical sciences.|99157370190001452|18961126|18961126|
Advances in mind-body medicine.|99158313320001452|14703556|14703556|
Advances in neonatal care [electronic resource] : official journal of the National Association of Neonatal Nurses.|99161941798001452|15360903|15360903|
Advances in nursing science [electronic resource].|99158193160001452|01619268|01619268|
Advances in nutrition [electronic resource].|99160210000001452|21618313|21618313|
Advances in optics and photonics [electronic resource].|99158507740001452|19438206|19438206|
Advances in pediatrics.|99158434180001452|00653101|00653101|
Advances in peritoneal dialysis.|99157511170001452|11978554|11978554|
Advances in pharmacological sciences [electronic resource].|99157379960001452|16876334|16876334|
Advances in physiology education [electronic resource].|99157348940001452|10434046|10434046|
Advances in psychiatric treatment [electronic resource].|99157649400001452|13555146|13555146|
Advances in rehabilitation.|99158486100001452|08606161|08606161|
Advances in skin &amp; wound care.|99161941796101452|15277941|15277941|
Advances in surgery.|99158431980001452|00653411|00653411|
Advances in wound care.|99157769990001452|21621918|21621918|
Adverse drug reaction bulletin.|99158507620001452|00446394|00446394|
Aerosol science and technology [electronic resource].|99157519200001452|02786826|02786826|
Aerospace medicine and human performance.|99161857358801452|23756314|23756314|
Aesthetic plastic surgery [electronic resource].|99158518190001452|0364216X|0364216X|
Aesthetic surgery journal [electronic resource].|99161865830201452|1090820X|1090820X|
African Journal of Emergency Medicine|99161967133701452|2211419X|2211419X|
African Journal of Infectious Diseases|99161771335901452|20060165|20060165|
African health sciences.|99157213090001452|16806905|16806905|
African journal of AIDS research.|99157844840001452|16085906|16085906|
African journal of biomedical research : AJBR.|99157212370001452|11195096|11195096|
African journal of laboratory medicine.|99157417250001452|22252002|22252002|
African journal of neurological sciences.|99157213020001452|10158618|10158618|
African journal of paediatric surgery : AJPS.|99157367240001452|01896725|01896725|
African journal of primary health care &amp; family medicine.|99157380390001452|20712928|20712928|
African journal of psychiatry.|99161967951401452|19948220|19948220|
African journal of reproductive health.|99157212700001452|11184841|11184841|
African journal of traditional, complementary, and alternative medicines : AJTCAM / African Networks on Ethnomedicines.|99157212870001452|01896016|01896016|
African journal of urology [electronic resource] : the official journal of the Pan African Urological Surgeons' Association (PAUSA).|99161967532701452|11105704|11105704|
Age [electronic resource].|99161771335801452|01619152|01619152|
Age and ageing.|99157649830001452|00020729|00020729|
Ageing research [electronic resource].|99157388080001452|20367384|20367384|
Ageing research reviews [electronic resource].|99158432470001452|15681637|15681637|
Aggression and violent behavior [electronic resource].|99158433410001452|13591789|13591789|
Aggressive behavior [electronic resource].|99157807190001452|0096140X|0096140X|
Aging &amp; mental health.|99157805700001452|13607863|13607863|
Aging [electronic resource].|99158798630001452|19454589|19454589|
Aging cell.|99157780200001452|14749718|14749718|
Aging clinical and experimental research.|99161860634901452|15940667|15940667|
Air medical journal.|99158431610001452|1067991X|1067991X|
Akademik acil tÄ±p olgu sunumlarÄ± dergisi.|99157394060001452|1309534X|1309534X|
Aktuelle Dermatologie [electronic resource].|99158511200001452|03402541|03402541|
Aktuelle ErnaÌˆhrungsmedizin.|99158530590001452|03410501|03410501|
Aktuelle Neurologie [electronic resource].|99158511410001452|03024350|03024350|
Aktuelle Rheumatologie [electronic resource].|99158530930001452|0341051X|0341051X|
Aktuelle Urologie [electronic resource].|99158511430001452|00017868|00017868|
AktuÃ¡lnÃ­ gynekologie a porodnictvÃ­|99157407210001452|18039588|18039588|
Albany law review.|99157805060001452|00024678|00024678|
Alberta RN.|99158193580001452|14819988|14819988|
Alcohol [electronic resource].|99158436450001452|07418329|07418329|
Alcohol and alcoholism [electronic resource].|99157505810001452|07350414|07350414|
Alcohol health and research world / National Institute on Alcohol Abuse and Alcoholism.|99157800350001452|0090838X|0090838X|
Alcohol research : current reviews.|99157793230001452|21683492|21683492|
Alcoholism treatment quarterly.|99161950129201452|07347324|07347324|
Alcoholism, clinical and experimental research.|99158528480001452|01456008|01456008|
Alergia astma immunologia|99157847430001452|14273101|14273101|
Alergie|99157621730001452|12123536|12123536|
Alergologia Polska - Polish Journal of Allergology|99161967433701452|23533854|23533854|
AlergÃ­a; revista iberoamericana de alergologÃ­a.|99157835400001452|00025151|00025151|
Alexandria journal of medicine.|99157439540001452|20905068|20905068|
Alimentary pharmacology &amp; therapeutics [electronic resource].|99157792470001452|02692813|02692813|
Allergologia et immunopathologia.|99161779189401452|03010546|03010546|
Allergology international [electronic resource].|99157359930001452|13238930|13238930|
Allergy [electronic resource].|99157779990001452|01054538|01054538|
Allergy and asthma proceedings [electronic resource].|99157770690001452|10885412|10885412|
Allergy, asthma &amp; immunology research.|99157671400001452|20927355|20927355|
Allergy, asthma, and clinical immunology : official journal of the Canadian Society of Allergy and Clinical Immunology.|99157212270001452|17101484|17101484|
Alter.|99161974744701452|18750680|18750680|
Alternative medicine studies.|99157397930001452|20389477|20389477|
Alternative therapies in health and medicine.|99161966796301452|10786791|10786791|
Alzheimer disease and associated disorders [electronic resource].|99158507670001452|08930341|08930341|
Alzheimer's &amp; Dementia: Diagnosis, Assessment &amp; Disease Monitoring|99161871078101452|23528729|23528729|
Alzheimer's &amp; dementia : the journal of the Alzheimer's Association.|99158435260001452|15525260|15525260|
Alzheimer's research &amp; therapy.|99157228930001452|17589193|17589193|
Ambio [electronic resource] : a journal of the human environment.|99158308470001452|00447447|00447447|
Ambix : the journal of the Society for the Study of Alchemy and Early Chemistry.|99157806790001452|00026980|00026980|
Ambulatory surgery [electronic resource].|99157626430001452|09666532|09666532|
American annals of the deaf [e-journal].|99158193450001452|0002726X|0002726X|
American family physician.|99157594280001452|0002838X|0002838X|
American health &amp; drug benefits.|99158210870001452|19422962|19422962|
American heart journal : AHJ.|99158433270001452|00028703|00028703|
American journal of Alzheimer's disease and other dementias.|99158501190001452|15333175|15333175|
American journal of Chinese medicine.|99157805610001452|0192415X|0192415X|
American journal of audiology.|99157806740001452|10590889|10590889|
American journal of biochemistry and biotechnology.|99157345040001452|15533468|15533468|
American journal of biochemistry and molecular biology.|99157762310001452|21504210|21504210|
American journal of bioethics [electronic resource] : AJOB.|99157805660001452|15265161|15265161|
American journal of blood research [electronic resource].|99157399500001452|21601992|21601992|
American journal of botany.|99157650080001452|00029122|00029122|
American journal of cancer research.|99157385340001452|21566976|21566976|
American journal of cardiovascular disease.|99157399510001452|2160200X|2160200X|
American journal of cardiovascular drugs : drugs, devices, and other interventions.|99158518110001452|11753277|11753277|
American journal of clinical and experimental immunology.|99157418120001452|21647712|21647712|
American journal of clinical dermatology [electronic resource].|99157806520001452|11750561|11750561|
American journal of clinical oncology [electronic resource] : cancer clinical trials.|99158507150001452|02773732|02773732|
American journal of clinical pathology.|99157649350001452|00029173|00029173|
American journal of community psychology.|99158269050001452|00910562|00910562|
American journal of critical care.|99157491110001452|10623264|10623264|
American journal of dermatopathology [electronic resource].|99158506340001452|01931091|01931091|
American journal of drug and alcohol abuse [electronic resource].|99157807240001452|00952990|00952990|
American journal of drug delivery.|99157805370001452|11759038|11759038|
American journal of drug discovery and development.|99157762300001452|2150427X|2150427X|
American journal of epidemiology.|99157513620001452|00029262|00029262|
American journal of forensic medicine &amp; pathology.|99158506890001452|01957910|01957910|
American journal of geriatric psychiatry [electronic resource].|99158449360001452|10647481|10647481|
American journal of health behavior [electronic resource].|99158192870001452|10873244|10873244|
American journal of health promotion : AJHP.|99161941364601452|08901171|08901171|
American journal of health-system pharmacy : AJHP.|99157806110001452|10792082|10792082|
American journal of hematology.|99157792400001452|03618609|03618609|
American journal of human biology [electronic resource].|99158529300001452|10420533|10420533|
American journal of human genetics.|99157421180001452|00029297|00029297|
American journal of hypertension [electronic resource].|99157770540001452|08957061|08957061|
American journal of immunology.|99157345130001452|1553619X|1553619X|
American journal of industrial medicine [electronic resource].|99158527280001452|02713586|02713586|
American journal of infection control [electronic resource].|99158435590001452|01966553|01966553|
American journal of infectious diseases.|99157345030001452|15536203|15536203|
American journal of kidney diseases [electronic resource] : AJKD : the official journal of the National Kidney Foundation.|99158436660001452|02726386|02726386|
American journal of law &amp; medicine.|99157805290001452|00988588|00988588|
American journal of medical genetics. Part A [electronic resource].|99158528750001452|15524825|15524825|
American journal of medical genetics. Part B, Neuropsychiatric genetics.|99158528770001452|15524841|15524841|
American journal of medical genetics. Part C, Seminars in medical genetics [electronic resource].|99158528780001452|15524868|15524868|
American journal of medical quality.|99158501350001452|10628606|10628606|
American journal of men's health.|99158520960001452|15579883|15579883|
American journal of nephrology.|99157770720001452|02508095|02508095|
American journal of neurodegenerative disease.|99157419140001452|2165591X|2165591X|
American journal of neuroradiology : AJNR.|99157513770001452|01956108|01956108|
American journal of nuclear medicine and molecular imaging.|99157395690001452|21608407|21608407|
American journal of obstetrics and gynecology.|99158433610001452|00029378|00029378|
American journal of ophthalmology [electronic resource].|99158433650001452|00029394|00029394|
American journal of orthodontics and dentofacial orthopedics.|99158432710001452|08895406|08895406|
American journal of orthopsychiatry.|99158529250001452|00029432|00029432|
American journal of otolaryngology.|99158433100001452|01960709|01960709|
American journal of perinatology [electronic resource].|99158530710001452|07351631|07351631|
American journal of pharmaceutical education.|99157348170001452|00029459|00029459|
American journal of pharmacology and toxicology.|99157483850001452|15574962|15574962|
American journal of physical anthropology.|99158529200001452|00029483|00029483|
American journal of physical medicine &amp; rehabilitation.|99158507310001452|08949115|08949115|
American journal of physiology. Cell physiology.|99157503640001452|03636143|03636143|
American journal of physiology. Endocrinology and metabolism.|99157513740001452|01931849|01931849|
American journal of physiology. Gastrointestinal and liver physiology.|99157520750001452|01931857|01931857|
American journal of physiology. Heart and circulatory physiology.|99157503650001452|03636135|03636135|
American journal of physiology. Lung cellular and molecular physiology.|99157510150001452|10400605|10400605|
American journal of physiology. Regulatory, integrative, and comparative physiology.|99157503680001452|03636119|03636119|
American journal of physiology. Renal, fluid and electrolyte physiology.|99157503660001452|03636127|03636127|
American journal of preventive medicine.|99158433370001452|07493797|07493797|
American journal of primatology.|99158527250001452|02752565|02752565|
American journal of psychiatric rehabilitation.|99157805050001452|15487768|15487768|
American journal of psychotherapy.|99157806880001452|00029564|00029564|
American journal of public health.|99157805710001452|00900036|00900036|
American journal of reproductive immunology [electronic resource].|99157805440001452|10467408|10467408|
American journal of respiratory and critical care medicine.|99157650160001452|1073449X|1073449X|
American journal of respiratory cell and molecular biology.|99157491280001452|10441549|10441549|
American journal of rhinology &amp; allergy : official journal of the American Rhinologic Society and the International Rhinologic Society.|99157751260001452|19458924|19458924|
American journal of roentgenology : AJR.|99157512600001452|0361803X|0361803X|
American journal of sociology.|99157675480001452|00029602|00029602|
American journal of speech-language pathology [electronic resource].|99157859760001452|10580360|10580360|
American journal of stem cells.|99157409140001452|21604150|21604150|
American journal of therapeutics [electronic resource].|99158506120001452|10752765|10752765|
American journal of translational research [electronic resource].|99157365450001452|19438141|19438141|
American journal of transplantation.|99157780380001452|16006135|16006135|
American journal on addictions [electronic resource].|99157806890001452|10550496|10550496|
American journal on intellectual and developmental disabilities [electronic resource].|99158485290001452|19447515|19447515|
American orthoptic journal [electronic resource] : official journal of the American Association of Certified Orthopists.|99157806070001452|0065955X|0065955X|
American psychologist [electronic resource].|99158253780001452|0003066X|0003066X|
Amnesia vivace : web magazine di critica dell'arte e societaÌ€.|99147122990001452|17222737|17222737|
Amyloid.|99157805090001452|13506129|13506129|
Amyotrophic lateral sclerosis and frontotemporal degeneration.|99158476900001452|21678421|21678421|
Anadolu Psikiyatri Dergisi|99157875180001452|13026631|13026631|
Anaerobe [electronic resource].|99161967503101452|10759964|10759964|
Anaesthesia [electronic resource].|99157805480001452|00032409|00032409|
Anaesthesia and intensive care medicine.|99158434980001452|14720299|14720299|
Anaesthesia and intensive care.|99157860340001452|0310057X|0310057X|
Anaesthesia, pain &amp; intensive care.|99157418070001452|16078322|16078322|
Anais brasileiros de dermatologÃ­a.|99157350520001452|03650596|03650596|
Anais da Academia Brasileira de CiÃªncias.|99157350090001452|00013765|00013765|
Anales de la Real Academia Nacional de Medicina.|99157301250001452|00340634|00340634|
Anales de pediatrÃ­a : publicaciÃ³n oficial de la AsociaciÃ³n EspaÃ±ola de PediatrÃ­a (A.E.P.).|99157320410001452|16954033|16954033|
Anales del sistema sanitario de Navarra.|99157318460001452|11376627|11376627|
Analytica chimica acta.|99161967442001452|00032670|00032670|
Analytical and bioanalytical chemistry [electronic resource].|99157806450001452|16182642|16182642|
Analytical biochemistry.|99161967431001452|00032697|00032697|
Analytical cellular pathology.|99157852090001452|22107177|22107177|
Analytical chemistry.|99158485220001452|00032700|00032700|
Analytical sciences [electronic resource] : the international journal of the Japan Society for Analytical Chemistry.|99157331970001452|09106340|09106340|
Anatolian journal of cardiology.|99161964234601452|21492263|21492263|
Anatomia, histologia, embryologia : journal of the World Association of Veterinary Anatomists.|99157806980001452|03402096|03402096|
Anatomical science international [electronic resource].|99157807030001452|14476959|14476959|
Anatomical sciences education [electronic resource].|99158528470001452|19359772|19359772|
Andrologia.|99157807010001452|03034569|03034569|
Andrology.|99158528570001452|20472919|20472919|
Anesteziologie &amp; intenzivnÃ­ medicÃ­na|99157875040001452|12142158|12142158|
Anesthesia &amp; analgesia.|99157512740001452|00032999|00032999|
Anesthesia progress.|99161771335401452|00033006|00033006|
Anesthesiology : the journal of the American Society of Anesthesiologists, Inc.|99157444240001452|00033022|00033022|
Anesthesiology and pain medicine.|99161771335301452|22287523|22287523|
Anesthesiology clinics [electronic resource].|99158436090001452|19322275|19322275|
Anesthesiology research and practice.|99157371860001452|16876962|16876962|
Angewandte Chemie : [electronic resource] international edition in English.|99158527500001452|14337851|14337851|
Angiogenesis [electronic resource].|99158930840001452|09696970|09696970|
Angiologia e cirurgia vascular.|99157407220001452|1646706X|1646706X|
Angiology [electronic resource] : the journal of vascular diseases.|99158520600001452|00033197|00033197|
AngiologÃ­a.|99157319480001452|00033170|00033170|
Anil Aggrawal's Internet journal of forensic medicine &amp; toxicology [electronic resource].|99157353430001452|09728074|09728074|
Animal : the international journal of animal bioscience.|99158481250001452|17517311|17517311|
Animal Welfare Information Center bulletin.|99143787530001452|15227553|15227553|
Animal biotechnology [electronic resource].|99157807170001452|10495398|10495398|
Animal cognition.|99158517540001452|14359448|14359448|
Animal genetics|99157807310001452|02689146|02689146|
Animal health research reviews [electronic resource].|99161948353601452|14662523|14662523|
Animal reproduction science.|99161967474801452|03784320|03784320|
Animal science journal.|99157805680001452|13443941|13443941|
Annales d'endocrinologie.|99161870870901452|00034266|00034266|
Annales de cardiologie et d'angÃ©iologie.|99161967431701452|00033928|00033928|
Annales de chirurgie plastique et esthÃ©tique [electronic resource].|99161967465701452|02941260|02941260|
Annales mÃ©dico-psychologiques [electronic resource].|99161967396701452|00034487|00034487|
Annali dell'Istituto superiore di sanitÃ .|99157370270001452|00212571|00212571|
Annali italiani di chirurgia.|99157637420001452|0003469X|0003469X|
Annals of African medicine.|99157212560001452|15963519|15963519|
Annals of Indian Academy of Neurology.|99157341320001452|09722327|09722327|
Annals of Neurosciences.|99157388640001452|09727531|09727531|
Annals of Saudi medicine.|99157364940001452|02564947|02564947|
Annals of advances in automotive medicine.|99161771335201452|19432461|19432461|
Annals of agricultural and environmental medicine : AAEM.|99157350330001452|12321966|12321966|
Annals of allergy, asthma, &amp; immunology.|99158434970001452|10811206|10811206|
Annals of anatomy [electronic resource].|99161967516201452|09409602|09409602|
Annals of behavioral medicine [electronic resource].|99157805070001452|08836612|08836612|
Annals of biomedical engineering.|99158516640001452|00906964|00906964|
Annals of botany [electronic resource].|99157650140001452|03057364|03057364|
Annals of cancer research and therapy.|99157667360001452|13446835|13446835|
Annals of cardiac anaesthesia.|99157371540001452|09719784|09719784|
