Title	MMSID	ISSN	ISSN1	ISSN		
"Acta crystallographica. Section E, Structure reports online. (continued by Acta crystallographica. Section E, Crystallographic communications)."	99157370460001452		1600-5368			
"Acta crystallographica. Section E, Crystallographic communications . "	99161826705901452		1600-5368			
"Acta crystallographica. Section F, Structural biology and crystallization communications. (continued by Acta crystallographica. Section F, Structural biology communications)."	99158437540001452		1744-3091			
"Acta crystallographica. Section F, Structural biology communications."	99161771336301452		2053-230X			
Acta cytologica.	99157770970001452	0001-5547	1938-2650	0001-5547		
Acta dermato-venereologica.	99157392550001452	0001-5555	1651-2057	0001-5555		
Acta dermato-venereologica. Supplement.	99157452210001452	0365-8341		0365-8341		
"Acta dermatovenerologica alpina, pannonica et adriatica."	99157496550001452	1318-4458	1581-2979	1318-4458		
Acta dermatovenerologica croatica.		1330-027X		1330-027X		
Acta diabetologica.	99158785320001452	0940-5429	1432-5233	0940-5429		
Acta endoscopica.	 	0240-642X	1958-5454	0240-642X		
Acta facultatis medicae naissensis.	99157365020001452	0351-6083	2217-2521	0351-6083		
Acta facultatis pharmaceuticae Universitatis Comenianae.	99157405560001452	0301-2298	1338-6786	0301-2298		
Acta gastro-enterologica belgica.		0001-5644		0001-5644		
Acta gastroenterologica latinoamericana.	99158670970001452	0300-9033		0300-9033		
Acta ginecologica.		0001-5776		0001-5776		
Acta haematologica.	99157770990001452	0001-5792	1421-9662	0001-5792		
Acta haematologica polonica.	99161967491701452	0001-5814		0001-5814		
Acta hepatologica japonica.	99157666620001452	0451-4203	1881-3593	0451-4203		
Acta herpetologica.		1827-9635	1827-9643	1827-9635		
Acta histochemica.	99161967505201452	0065-1281	1618-0372	0065-1281		
Acta historica leopoldina.		0001-5857		0001-5857		
"Acta hydrochimica et hydrobiologica. (continued by Clean: soil, air, water)."	99158527420001452	0323-4320		0323-4320		
Acta informatica medica.	99157807280001452	0353-8109	1986-5988	0353-8109		
Acta medica.	99157345570001452	1211-4286		1211-4286		
Acta medica academica.	99157420290001452	1840-1848	1840-2879	1840-1848		
Acta medica bulgarica.	99161835161301452	0324-1750		0324-1750		
Acta medica croatica.		1330-0164		1330-0164		
Acta medica indonesiana.	99160050960001452	0125-9326		0125-9326		
Acta medica international.	99162115298301452	2349-0578	2349-0896	2349-0578		
Acta medica uranica.	99157344540001452	0044-6025	1735-9694	0044-6025		
Acta medica martiniana.	99157399260001452	1335-8421	1338-4139	1335-8421		
Acta medica mediterranea.	99162001459101452	0393-6384		0393-6384		
Acta medica nagasakiensia.	99157345920001452	0001-6055		0001-6055		
Acta medica okayama.	99157331660001452	0386-300X		0386-300X		
Acta medica portuguesa.	99157370400001452	0870-399X	1646-0758	0870-399X		
Acta medica saliniana.	 	0350-364X	1840-3956	0350-364X		
Acta medico-historica adriatica : AMHA.	99157496080001452	1334-4366	1334-6253	1334-4366		
Acta microbiologica et immunologica hungarica.	 	1217-8950	1588-2640	1217-8950		
Acta microbiologica hellenica.		0438-9573		0438-9573		
Acta myologica.	99161771336201452	1128-2460		1128-2460		
Acta neurobiologiae experimentalis.	99157349520001452	0065-1400	1689-0035	0065-1400		
Acta neurochirurgica.	99158784930001452	0001-6268	0942-0940	0001-6268		
Acta neurochirurgica. Supplementum.	 	0065-1419	2197-8395	0065-1419		
Acta neurologica belgica.	 	0300-9009	2240-2993	0300-9009		
Acta neurologica scandinavica.	99157806000001452	0001-6314	1600-0404	0001-6314		
Acta neurologica scandinavica. Supplementum.	99162000845001452	0065-1427	1600-5449	0065-1427		
Acta neurologica taiwanica.		1028-768X		1028-768X		
Acta neuropathologic.	99158517460001452	0001-6322	1432-0533	0001-6322		
Acta neuropathologica communications.	99159696040001452		2051-5960			
Acta neuropsychiatrica.	99157805010001452	0924-2708	1601-5215	0924-2708		
Acta neuropsychologica.	99161900957701452	1730-7503		1730-7503		
Acta obstetricia et gynecologica scandinavica.	99157806030001452	0001-6349	1600-0412	0001-6349		
Acta odontol??gica latinoamericana : AOL.	99162001459801452	0326-4815	1852-4834	0326-4815		
Acta odontologica scandinavica.	99158477110001452	0001-6357	1502-3850	0001-6357		
Acta of bioengineering and biomechanics.	99157805490001452	1509-409X		1509-409X		
Acta oncologica.	99157520020001452	0284-186X	1651-226X	0284-186X		
Acta ophthalmologica.	99157792440001452	1755-375X	1755-3768	1755-375X		
Acta ophthalmologica. Supplement.	99162000844601452	1755-3776	1755-3784	1755-3776		
Acta ophthalmologica scandinavica.	99157780340001452	1395-3907	1600-0420	1395-3907		
Acta ophthalmologica scandinavica. Supplement.	99162000844101452	1395-3931	1600-5465	1395-3931		
Acta orthopaedica.	99157357760001452	1745-3674	1745-3682	1745-3674		
Acta orthopaedica belgica.	99157480770001452	0001-6462		0001-6462		
Acta orthopaedica et traumatologica turcica.	99157359840001452	1017-995X		1017-995X		
Acta ortop??dica mexicana.	99157874510001452	2306-4102		2306-4102		
Acta otolaryngologica.	99157806230001452	0001-6489	1651-2251	0001-6489		
Acta otolaryngologica. Supplementum.	99157807130001452		0365-5237			
						
"Acta otorhinolaryngologica Italica : organo ufficiale della SocietÉ?≠ italiana di otorinolaringologia e chirurgia cervico-facciale."""	99157363280001452	0392-100X	1827-675X	0392-100X		
Acta otorrinolaringologica espanola.	 	0001-6519	1988-3013	0001-6519		
Acta paediatrica japonica : Overseas edition.	99158529440001452		0374-5600			
						
"Acta p??diatrica."""	99157806420001452	0803-5253	1651-2227	0803-5253		
Acta parasitologica.	 	1230-2821	1896-1851	1230-2821		
						
"Acta p??diatrica. Supplement."""	99157861110001452	0803-5326		0803-5326		
Acta pediatrica espanola.		0001-6640		0001-6640		
Acta pharmaceutica.	99157353300001452	1330-0075	1846-9558	1330-0075		
Acta pharmaceutica hungarica.		0001-6659		0001-6659		
Acta pharmaceutica sciencia.		1307-2080		1307-2080		
Acta pharmaceutica sinica B.	99157413410001452	2211-3835	2211-3843	2211-3835		
Acta pharmacologica sinica.	99157454400001452	1671-4083	1745-7254	1671-4083		
Acta phlebologica.	99157467850001452	1593-232X	1827-1766	1593-232X		
Acta physiologica.	99157805380001452	1748-1708	1748-1716	1748-1708		
Acta physiologica hungarica.	 	0231-424X	1588-2683	0231-424X		
Acta physiologica scandinavica.	99157806220001452	0001-6772	1365-201X	0001-6772		
Acta poloniae pharmaceutica.	99157454770001452	0001-6837		0001-6837		
Acta psychiatrica scandinavica.	99157806260001452	0001-690X	1600-0447	0001-690X		
Acta psychiatrica scandinavica. Supplementum.	99157861080001452	0065-1591	1600-5473	0065-1591		
Acta psychologica.	99161967631501452	0001-6918	1873-6297	0001-6918		
Acta radiologica.	99157805950001452	0284-1851	1600-0455	0284-1851		
Acta radiologica short reports.	99157637680001452		2047-9816			
						
"Acta reumatol??gica portuguesa."""	99161976147301452	0303-464X		0303-464X		
Acta scientiarum. Biological sciences.	99157369280001452	1679-9283	1807-863X	1679-9283		
Acta scientiarum. Health sciences.	99157369270001452	1679-9291	1807-8648	1679-9291		
Acta scientiarum polonorum. Technologia alimentaria.	99157357870001452	1644-0730	1898-9594	1644-0730		
Acta scientiarum. Language and culture.	99139807580001452		1983-4683			
Acta societatis martensis.	99142125110001452		1736-3926			
Acta stomatologica croatica.	99157356080001452	0001-7019	1846-0410	0001-7019		
Acta tropica.	99157765570001452	0001-706X	1873-6254	0001-706X		
Acta urologica portuguesa.	99161967427001452	2341-4022	2387-0419	2341-4022		
Acta veterinaria hungarica.		0236-6290		0236-6290		
Acta veterinaria scandinavica.	99157212090001452	0044-605X	1751-0147	0044-605X		
Acta virologica.		0001-723X		0001-723X		
Acta vulnologica.	 	1721-2596	1827-1774	1721-2596		
Actas dermo-sifiliograficas.	99161935361801452	0001-7310	1578-2190	0001-7310		
Actas espa??olas de psiquiatr??a.	99157622090001452	1139-9287	1578-2735	1139-9287		
Actas urologicas espa??olas.	99157320080001452	0210-4806	1699-7980	0210-4806		
Activitas nervosa superior.	99157634890001452	1802-9698		1802-9698		
Activitas nervosa superior rediviva.		1337-933X		1337-933X		
Actualites pharmaceutiques.	99161967413301452	0515-3700		0515-3700		
Actualizaciones en anestesiologia y reanimacion.		1132-0095		1132-0095		
Actualizaciones en oteologia.	 	1669-8975	1669-8983	1669-8975		
Acupuncture & electro-therapeutics research.		0360-1293		0360-1293		
Acupuncture and related therapies.	99161967395401452	2211-7660		2211-7660		
Acupuncture in medicine.	99157228710001452	0964-5284	1759-9873	0964-5284		
Acute cardiac care.	99157807290001452	1748-2941	1748-295X	1748-2941		
Acute care perspectives.	99158209220001452		1551-9147			
Acute coronary syndromes.	 	1369-5312	2040-3860	1369-5312		
Acute medicine.	 	1747-4884	1747-4892	1747-4884		
Acute medicine and surgery.	99161766498201452		2052-8817			
Adapted physical activity quarterly : APAQ.	 	0736-5829	1543-2777	0736-5829		
Addiction.	99157806340001452	0965-2140	1360-0443	0965-2140		
Addiction biology.	99157805220001452	1355-6215	1369-1600	1355-6215		
Addiction research.	99157806770001452		1058-6989			
Addiction research & theory.						
Addiction science & clinical practice.	99157228940001452	1940-0632	1940-0640	1940-0632		
Addictive behaviors.	99158434660001452	0306-4603	1873-6327	0306-4603		
Addictive behaviors reports.	99161967391801452		2352-8532			
Addictive disorders & their treatment.	99161941798201452	1531-5754	1535-1122	1531-5754		
ADHD attention deficit and hyperactivity disorders.	 	1866-6116	1866-6647	1866-6116		
Adicciones.	99157320910001452	0214-4840		0214-4840		
Adipocyte.	99161771336101452	2162-3945	2162-397X	2162-3945		
Administration and policy in mental health.	99158516630001452	0894-587X	1573-3289	0894-587X		
Administration in social work.	99158511470001452	0364-3107	1544-4376	0364-3107		
"Adolescent health, medicine and therapeutics."	99157383320001452		1179-318X			
Adolescent medicine: state of the art reviews.		1934-4287		1934-4287		
Adolescent psychiatry.	 	2210-6766	2210-6774	2210-6766		
Adoption and fostering.	99158191590001452	0308-5759	1740-469X	0308-5759		
Adultspan journal.	99157805970001452	1524-6817	2161-0029	1524-6817		
Advance for NPs & PAs.	 	2325-6699	2325-6702	2325-6699		
Advanced biosystems.	99162000843601452	2366-7478		2366-7478		
Advanced drug delivery reviews.	99161967638201452	0169-409X	1872-8294	0169-409X		
Advanced emergency nursing journal.	99161941799301452	1931-4485	1931-4493	1931-4485		
Advanced engineering materials.	99158528700001452	1438-1656	1527-2648	1438-1656		
Advanced functional materials.	99158526850001452	1616-301X	1616-3028	1616-301X		
Advanced healthcare materials.	99158523770001452	2192-2640	2192-2659	2192-2640		
Advanced materials.	99158526970001452	0935-9648	1521-4095	0935-9648		
Advanced pharmaceutical bulletin.	99157409430001452	2228-5881	2251-7308	2228-5881		
"Advanced science, engineering and medicine."	 	2164-6627	2164-6635	2164-6627		
Advanced science.	99161832453301452		2198-3844			
Advanced studies in nursing/the Institute for Johns Hopkins Nursing.	99158210730001452	1558-0172	1558-0180	1558-0172		
Advanced studies in theoretical physics.	99162049927901452		1313-1311			
Advanced synthesis & catalysis.	99158526890001452	1615-4150	1615-4169	1615-4150		
Advances and technical standards in neurosurgery.		0095-4829		0095-4829		
Advances in alzheimer's disease.	 	2210-5727	2210-5735	2210-5727		
Advances in anatomic pathology.	99158506930001452	1072-4109	1533-4031	1072-4109		
"Advances in anatomy, embryology, and cell biology."		0301-5556		0301-5556		
Advances in anesthesia.	99158434840001452	0737-6146	1878-0415	0737-6146		
Advances in animal biosciences.	99158450780001452	2040-4700	2040-4719	2040-4700		
Advances in applied microbiology.		0065-2164		0065-2164		
Advances in biochemical engineering/biotechnology.	 	0724-6145	1616-8542	0724-6145		
Advances in biological regulation.	99161967531301452	2212-4926	2212-4934	2212-4926		
Advances in cancer research.		0065-230X		0065-230X		
Advances in carbohydrate chemistry and biochemistry.		0065-2318		0065-2318		
Advances in cardiology.	 	0065-2326	1662-2839	0065-2326		
Advances in cell biology.	99160861000001452	0324-833X	2080-2218	0324-833X		
Advances in child development and behavior.		0065-2407		0065-2407		
Advances in chromatography.		0065-2415		0065-2415		
Advances in chronic kidney disease.	99158434110001452	1548-5595	1548-5609	1548-5595		
Advances in clinical and experimental medicine.		1899-5276		1899-5276		
Advances in clinical chemistry.		0065-2423		0065-2423		
Advances in colloid and interface science.	99161967632401452	0001-8686	1873-3727	0001-8686		
Advances in delivery science and technology.		2192-6204		2192-6204		
Advances in dental research.	99157751070001452	0895-9374	1544-0737	0895-9374		
Advances in developmental biology.	 	1574-3349	1875-5275	1574-3349		
Advances in digestive medicine.	99161871075001452	2351-9797	2351-9800	2351-9797		
Advances in enzymology and related areas of molecular biology.	 	0065-258X	1934-4694	0065-258X		
Advances in experimental medicine and biology.	 	0065-2598	2214-8019	0065-2598		
Advances in food and nutrition research.		1043-4526		1043-4526		
Advances in genetics.		0065-2660		0065-2660		
Advances in genome science.		2213-6606		2213-6606		
Advances in gerontology.		1561-9125		1561-9125		
Advances in health care management.		1474-8231		1474-8231		
Advances in health economics and health services research.		0731-2199		0731-2199		
Advances in health sciences education : theory and practice.	99158514490001452	1382-4996	1573-1677	1382-4996		
Advances in hematology.	99157364200001452	1687-9104	1687-9112	1687-9104		
Advances in immunology.	 	0065-2776	1557-8445	0065-2776		
Advances in integrative medicine.	99161846355601452	2212-9588	2212-9596	2212-9588		
Advances in life course research.	 	1569-4909	1879-6974	1569-4909		
Advances in marine biology.	99161967422401452	0065-2881		0065-2881		
Advances in medical sciences.	99157370190001452	1896-1126	1898-4002	1896-1126		
Advances in microbial physiology.		0065-2911		0065-2911		
Advances in mind-body medicine.	99158313320001452	1470-3556	1532-1843	1470-3556		
Advances in molecular toxicology.	 	1872-0854	2212-2044	1872-0854		
Advances in neonatal care.	99161941798001452	1536-0903	1536-0911	1536-0903		
Advances in neurobiology.		0270-0794		0270-0794		
Advances in neuroimmune biology.	 	1878-948X	1878-9498	1878-948X		
Advances in nutrition.	99160210000001452	2161-8313	2156-5376	2161-8313		
Advances in optics and photonics.	99158507740001452		1943-8206			
Advances in orthopedics.		2090-3472		2090-3472		
Advances in oto-rhino-laryngology.	 	0065-3071	1662-2847	0065-3071		
Advances in parasitology.		0065-308X		0065-308X		
Advances in pediatrics.	99158434180001452	0065-3101	1878-1926	0065-3101		
Advances in peritoneal dialysis.	99157511170001452	1197-8554		1197-8554		
Advances in pharmacological sciences.	99157379960001452	1687-6334	1687-6342	1687-6334		
Advances in pharmacology.	 	1054-3589	1557-8925	1054-3589		
Advances in physiology education.	99157348940001452	1043-4046	1522-1229	1043-4046		
Advances in physiotherapy.	99157806470001452	1403-8196	1651-1948	1403-8196		
"Advances in predictive, preventive and personalised medicine."	 	2211-3495	2211-3509	2211-3495		
Advances in protein chemistry and structural biology.		1876-1623		1876-1623		
Advances in psychiatric treatment.	99162001460001452	1355-5146	1472-1481	1355-5146		
Advances in psychosomatic medicine.	 	0065-3268	1662-2855	0065-3268		
Advances in radiation oncology.	99161967473301452		2452-1094			
Advances in skin & wound care.	99161941796101452	1527-7941	1538-8654	1527-7941		
Advances in speech-language pathology.	99158193530001452	1441-7049	1742-9528	1441-7049		
Advances in surgery.	99158431980001452	0065-3411	1878-0555	0065-3411		
Advances in therapy.	 	0741-238X	1865-8652	0741-238X		
Advances in virus research.	 	0065-3527	1557-8399	0065-3527		
Advances in wound care.	99157769990001452	2162-1918	2162-1934	2162-1918		
Adverse drug reaction bulletin.	99158507620001452	0044-6394	2159-7774	0044-6394		
Aerobiologia.	 	0393-5965	1573-3025	0393-5965		
Aerosol science and technology.	99157519200001452	0278-6826	1521-7388	0278-6826		
Aerospace medicine and human performance.	99161857358801452	2375-6314	2375-6322	2375-6314		
Aesthetic plastic surgery.	99158518190001452	0364-216X	1432-5241	0364-216X		
Aesthetic surgery journal.	99161865830201452	1090-820X	1527-330X	1090-820X		
African health sciences.	99157213090001452	1680-6905		1680-6905		
African journal of AIDS research.	99157844840001452	1608-5906	1727-9445	1608-5906		
African journal of biomedical research.	99157212370001452	1119-5096		1119-5096		
African journal of clinical and experimental microbiology.		1595-689X		1595-689X		
African journal of diabetes medicine.	99157877310001452	2042-8545	2053-4787	2042-8545		
African journal of emergency medicine.	99161967133701452	2211-419X		2211-419X		
African journal of infectious diseases.	99161771335901452	2006-0165		2006-0165		
African journal of laboratory medicine.	99157417250001452	2225-2002	2225-2010	2225-2002		
African journal of medicine and medical sciences.		0309-3913		0309-3913		
African journal of neurological sciences.	99157213020001452	1015-8618	1992-2647	1015-8618		
African journal of paediatric surgery : AJPS.	99157367240001452	0189-6725	0974-5998	0189-6725		
African journal of primary health care & family medicine.	99157380390001452	2071-2928	2071-2936	2071-2928		
African journal of psychiatry. .	99161967951401452	1994-8220		1994-8220		
African journal of reproductive health.	99157212700001452	1118-4841		1118-4841		
African journal of respiratory medicine.	99157854300001452	1747-5597	2053-2512	1747-5597		
"African journal of traditional, complementary and alternative medicines."	99157212870001452		0189-6016			
African journal of urology.	99161967532701452	1110-5704		1110-5704		
Age.	99161771335801452	0161-9152	1574-4647	0161-9152		
Age and ageing.	99157649830001452	0002-0729	1468-2834	0002-0729		
Ageing research.	99157388080001452	2036-7384	2036-7376	2036-7384		
Ageing research reviews.	99158432470001452	1568-1637	1872-9649	1568-1637		
Aggression and violent behavior.	99158433410001452	1359-1789	1873-6335	1359-1789		
Aggressive behavior.	99157807190001452	0096-140X	1098-2337	0096-140X		
Aging.	99158798630001452		1945-4589			
Aging & mental health.	99157805700001452	1360-7863	1364-6915	1360-7863		
Aging and disease.	99157389030001452		2152-5250			
Aging cell.	99157780200001452	1474-9718	1474-9726	1474-9718		
Aging clinical and experimental research.	99161860634901452	1594-0667	1720-8319	1594-0667		
Aging health.	 	1745-509X	1745-5103	1745-509X		
Aging male.	99157807150001452	1368-5538	1473-0790	1368-5538		
AI communications.	99157806210001452	0921-7126	1875-8452	0921-7126		
AIDS.	99157622710001452	0269-9370	1473-5571	0269-9370		
AIDS and behavior.	99158517770001452	1090-7165	1573-3254	1090-7165		
AIDS care: Psychological and socio-medical aspects of AIDS/HIV.	99157806300001452	0954-0121	1360-0451	0954-0121		
AIDS education and prevention.	99157805720001452	0899-9546		0899-9546		
AIDS patient care and STDs.	99157751970001452	1087-2914	1557-7449	1087-2914		
AIDS policy & law.	99161898914901452	0887-1493		0887-1493		
AIDS reader.		1053-0894		1053-0894		
AIDS research and human retroviruses.	99157751620001452	0889-2229	1931-8405	0889-2229		
AIDS research and therapy.	99157211030001452		1742-6405			
AIDS reviews.	99157478870001452	1139-6121		1139-6121		
Air medical journal.	99158431610001452	1067-991X	1532-6497	1067-991X		
AJOB empirical bioethics.	99161482930001452	2329-4515	2329-4523	2329-4515		
"AJOB neuroscience,."	99158512060001452	2150-7740	2150-7759	2150-7740		
AJP reports.	99161766513101452	2157-6998	2157-7005	2157-6998		
AJS:  American journal of sociology.	99157675480001452	0002-9602	1537-5390	0002-9602		
Akademik acil tip olgu sunumlari dergisi.	99157394060001452	1309-534X	2146-2925	1309-534X		
Aktuality v nefrologii.		1210-955X		1210-955X		
Aktualni gynekologie a porodnictvi.	99157407210001452		1803-9588			
Aktualnosci neurologiczne.		1641-9227		1641-9227		
Aktuelle dermatologie.	99158511200001452	0340-2541	1438-938X	0340-2541		
Aktuelle ernahrungsmedizin.	99158530590001452	0341-0501	1438-9916	0341-0501		
Aktuelle neurologie.	99158511410001452	0302-4350	1438-9428	0302-4350		
Aktuelle neurologie. Supplement.	 	1437-2754	1611-7697	1437-2754		
Aktuelle rheumatologie. .	99158530930001452	0341-051X	1438-9940	0341-051X		
Aktuelle rheumatologie. Supplement.		1433-7940		1433-7940		
Aktuelle urologie.	99158511430001452	0001-7868	1438-8820	0001-7868		
Akusherstvo i ginekologiiÉ?????aÉ???É??.		0324-0959		0324-0959		
Alabama nurse.	99158192710001452		0002-4317			
Alaska medicine.		0002-4538		0002-4538		
Alaska nurse.	99158192720001452		0002-4546			
Albany law review.	99157805060001452	0002-4678		0002-4678		
Alberta RN.	99158193580001452	1481-9988		1481-9988		
Alcohol.	99158436450001452	0741-8329	1873-6823	0741-8329		
Alcohol and alcoholism.	99157505810001452	0735-0414	1464-3502	0735-0414		
Alcohol health and research world.	99157800350001452		0090-838X			
Alcohol research & health: the journal of the National Institute on Alcohol Abuse and Alcoholism.	99157347550001452	1535-7414	1930-0573	1535-7414		
Alcohol research : current reviews.	99157793230001452	2168-3492	2169-4796	2168-3492		
Alcoholism.	 	0002-502X	1330-6170	0002-502X		
Alcoholism & drug abuse weekly.	99157806950001452	1042-1394	1556-7591	1042-1394		
Alcoholism treatment quarterly.	99161950129201452	0734-7324	1544-4538	0734-7324		
Alcoholism: clinical and experimental research.	99158528480001452	0145-6008	1530-0277	0145-6008		
Alergia astma immunologia.	99157847430001452	1427-3101		1427-3101		
Alergie.	99157621730001452	1212-3536		1212-3536		
Alergologia Polska - Polish journal of allergology.	99161967433701452	2353-3854		2353-3854		
Alexandria journal of medicine.	99157439540001452	2090-5068		2090-5068		
Alimentary pharmacology & therapeutics symposium series: AP&Tss.	99157807080001452	1746-6334	1746-6342	1746-6334		
Alimentary pharmacology and therapeutics.	99157792470001452	0269-2813	1365-2036	0269-2813		
Alkaloids. chemistry and biology.		1099-4831		1099-4831		
Allergo journal.	 	0941-8849	2195-6405	0941-8849		
Allergologia et immunopathologia.	99161779189401452	0301-0546	1578-1267	0301-0546		
Allergologie.		0344-5062		0344-5062		
Allergology international.	99157359930001452	1323-8930	1440-1592	1323-8930		
Allergy.	99157779990001452	0105-4538	1398-9995	0105-4538		
Allergy and asthma proceedings.	99157770690001452	1088-5412	1539-6304	1088-5412		
"Allergy, asthma and clinical immunology."	99157212270001452	1710-1484	1710-1492	1710-1484		
"Allergy, asthma and immunology research."	99157671400001452	2092-7355	2092-7363	2092-7355		
Allergy: European journal of allergy and clinical immunology.	99157779990001452	0105-4538	1398-9995	0105-4538		
Alpha omegan.		0002-6417		0002-6417		
Alter.	99161974744701452	1875-0672	1875-0680	1875-0672		
Alternative & complementary therapies. Society of Integrative Medicine.	99158191450001452	1076-2809	1557-9085	1076-2809		
Alternative medicine review.	99157859650001452	1089-5159	2169-1509	1089-5159		
Alternative medicine studies.	99157397930001452	2038-9477	2038-9485	2038-9477		
Alternative therapies in health and medicine.	99161966796301452	1078-6791		1078-6791		
Alternative therapies in women's health.			1522-3396			
Altex.	99158670640001452	1868-596X	1868-8551	1868-596X		
Alzheimer disease and associated disorders.	99158507670001452	0893-0341	1546-4156	0893-0341		
Alzheimer's and dementia.	99158435260001452	1552-5260	1552-5279	1552-5260		
