Title,MMSID,ISSN,ISSN1,,
Acta gastro-enterologica belgica.,,0001-5644,,,
Acta gastroenterologica latinoamericana.,99158670970001400,0300-9033,,,
Acta ginecologica.,,0001-5776,,,
Acta haematologica.,99157770990001400,0001-5792,1421-9662,,
Acta haematologica polonica.,99161967491701400,0001-5814,,,
Acta hepatologica japonica.,99157666620001400,0451-4203,1881-3593,,
Acta herpetologica.,,1827-9635,1827-9643,,
Acta histochemica.,99161967505201400,0065-1281,1618-0372,,
Acta historica leopoldina.,,0001-5857,,,
"Acta hydrochimica et hydrobiologica. (continued by Clean: soil, air, water).",99158527420001400,0323-4320,,,
Acta informatica medica.,99157807280001400,0353-8109,1986-5988,,
Acta medica.,99157345570001400,1211-4286,,,
Acta medica academica.,99157420290001400,1840-1848,1840-2879,,
Acta medica bulgarica.,99161835161301400,0324-1750,,,
Acta medica croatica.,,1330-0164,,,
Acta medica indonesiana.,99160050960001400,0125-9326,,,
Acta medica international., ,2349-0578,2349-0896,,
Acta medica uranica.,99157344540001400,0044-6025,1735-9694,,
Acta medica martiniana.,99157399260001400,1335-8421,1338-4139,,
Acta medica mediterranea.,99162001459101400,0393-6384,,,
Acta medica nagasakiensia.,99157345920001400,0001-6055,,,
Acta medica okayama.,99157331660001400,0386-300X,,,
Acta medica portuguesa.,99157370400001400,0870-399X,1646-0758,,
Acta medica saliniana., ,0350-364X,1840-3956,,
Acta medico-historica adriatica : AMHA.,99157496080001400,1334-4366,1334-6253,,
Acta microbiologica et immunologica hungarica., ,1217-8950,1588-2640,,
Acta microbiologica hellenica.,,0438-9573,,,
Acta myologica.,99161771336201400,1128-2460,,,
Acta neurobiologiae experimentalis.,99157349520001400,0065-1400,1689-0035,,
Acta neurochirurgica.,99158784930001400,0001-6268,0942-0940,,
Acta neurochirurgica. Supplementum., ,0065-1419,2197-8395,,
Acta neurologica belgica., ,0300-9009,2240-2993,,
Acta neurologica scandinavica.,99157806000001400,0001-6314,1600-0404,,
Acta neurologica scandinavica. Supplementum.,99162000845001400,0065-1427,1600-5449,,
Acta neurologica taiwanica.,,1028-768X,,,
Acta neuropathologic.,99158517460001400,0001-6322,1432-0533,,
Acta neuropathologica communications.,99159696040001400,,2051-5960,,
Acta neuropsychiatrica.,99157805010001400,0924-2708,1601-5215,,
Acta neuropsychologica.,99161900957701400,1730-7503,,,
Acta obstetricia et gynecologica scandinavica.,99157806030001400,0001-6349,1600-0412,,
Acta odontolÛgica latinoamericana : AOL.,99162001459801400,0326-4815,1852-4834,,
Acta odontologica scandinavica.,99158477110001400,0001-6357,1502-3850,,
Acta of bioengineering and biomechanics.,99157805490001400,1509-409X,,,
Acta oncologica.,99157520020001400,0284-186X,1651-226X,,
Acta ophthalmologica.,99157792440001400,1755-375X,1755-3768,,
Acta ophthalmologica. Supplement.,99162000844601400,1755-3776,1755-3784,,
Acta ophthalmologica scandinavica.,99157780340001400,1395-3907,1600-0420,,
Acta ophthalmologica scandinavica. Supplement.,99162000844101400,1395-3931,1600-5465,,
Acta orthopaedica.,99157357760001400,1745-3674,1745-3682,,
Acta orthopaedica belgica.,99157480770001400,0001-6462,,,
Acta orthopaedica et traumatologica turcica.,99157359840001400,1017-995X,,,
Acta ortopÈdica mexicana.,99157874510001400,2306-4102,,,
Acta otolaryngologica.,99157806230001400,0001-6489,1651-2251,,
Acta otolaryngologica. Supplementum.,99157807130001400,,0365-5237,,
"
Acta otorhinolaryngologica Italica : organo ufficiale della Societ‡ italiana di otorinolaringologia e chirurgia cervico-facciale.",99157363280001400,0392-100X,1827-675X,,
Acta otorrinolaringologica espanola., ,0001-6519,1988-3013,,
Acta paediatrica japonica : Overseas edition.,99158529440001400,,0374-5600,,
"
Acta pÊdiatrica.",99157806420001400,0803-5253,1651-2227,,
Acta parasitologica., ,1230-2821,1896-1851,,
"
Acta pÊdiatrica. Supplement.",99157861110001400,0803-5326,,,
Acta pediatrica espanola.,,0001-6640,,,
Acta pharmaceutica.,99157353300001400,1330-0075,1846-9558,,
Acta pharmaceutica hungarica.,,0001-6659,,,
Acta pharmaceutica sciencia.,,1307-2080,,,
Acta pharmaceutica sinica B.,99157413410001400,2211-3835,2211-3843,,
Acta pharmacologica sinica., ,1671-4083,1745-7254,,
Acta phlebologica.,99157467850001400,1593-232X,1827-1766,,
Acta physiologica.,99157805380001400,1748-1708,1748-1716,,
Acta physiologica hungarica., ,0231-424X,1588-2683,,
Acta physiologica scandinavica.,99157806220001400,0001-6772,1365-201X,,
Acta poloniae pharmaceutica.,99157454770001400,0001-6837,,,
Acta psychiatrica scandinavica.,99157806260001400,0001-690X,1600-0447,,
Acta psychiatrica scandinavica. Supplementum.,99157861080001400,0065-1591,1600-5473,,
Acta psychologica.,99161967631501400,0001-6918,1873-6297,,
Acta radiologica.,99157805950001400,0284-1851,1600-0455,,
Acta radiologica short reports.,99157637680001400,,2047-9816,,
"
Acta reumatolÛgica portuguesa.",99161976147301400,0303-464X,,,
Acta scientiarum. Biological sciences.,99157369280001400,1679-9283,1807-863X,,
Acta scientiarum. Health sciences.,99157369270001400,1679-9291,1807-8648,,
Acta scientiarum polonorum. Technologia alimentaria.,99157357870001400,1644-0730,1898-9594,,
Acta scientiarum. Language and culture.,99139807580001400,,1983-4683,,
Acta societatis martensis.,99142125110001400,,1736-3926,,
Acta stomatologica croatica.,99157356080001400,0001-7019,1846-0410,,
Acta tropica.,99157765570001400,0001-706X,1873-6254,,
Acta urologica portuguesa.,99161967427001400,2341-4022,2387-0419,,
Acta veterinaria hungarica.,,0236-6290,,,
Acta veterinaria scandinavica.,99157212090001400,0044-605X,1751-0147,,
Acta virologica.,,0001-723X,,,
Acta vulnologica., ,1721-2596,1827-1774,,
Actas dermo-sifiliograficas.,99161935361801400,0001-7310,1578-2190,,
Actas espaÒolas de psiquiatrÌa.,99157622090001400,1139-9287,1578-2735,,
Actas urologicas espaÒolas.,99157320080001400,0210-4806,1699-7980,,
Activitas nervosa superior.,99157634890001400,1802-9698,,,
Activitas nervosa superior rediviva.,,1337-933X,,,
Actualites pharmaceutiques.,99161967413301400,0515-3700,,,
Actualizaciones en anestesiologia y reanimacion.,,1132-0095,,,
Actualizaciones en oteologia., ,1669-8975,1669-8983,,
Acupuncture & electro-therapeutics research.,,0360-1293,,,
Acupuncture and related therapies.,99161967395401400,2211-7660,,,
Acupuncture in medicine.,99157228710001400,0964-5284,1759-9873,,
Acute cardiac care.,99157807290001400,1748-2941,1748-295X,,
Acute care perspectives.,99158209220001400,,1551-9147,,
Acute coronary syndromes., ,1369-5312,2040-3860,,
Acute medicine., ,1747-4884,1747-4892,,
Acute medicine and surgery.,99161766498201400,,2052-8817,,
Adapted physical activity quarterly : APAQ., ,0736-5829,1543-2777,,
Addiction.,99157806340001400,0965-2140,1360-0443,,
Addiction biology.,99157805220001400,1355-6215,1369-1600,,
Addiction research.,99157806770001400,,1058-6989,,
Addiction research & theory.,,,,,
Addiction science & clinical practice.,99157228940001400,1940-0632,1940-0640,,
Addictive behaviors.,99158434660001400,0306-4603,1873-6327,,
Addictive behaviors reports.,99161967391801400,,2352-8532,,
Addictive disorders & their treatment.,99161941798201400,1531-5754,1535-1122,,
ADHD attention deficit and hyperactivity disorders., ,1866-6116,1866-6647,,
Adicciones.,99157320910001400,0214-4840,,,
Adipocyte.,99161771336101400,2162-3945,2162-397X,,
Administration and policy in mental health.,99158516630001400,0894-587X,1573-3289,,
Administration in social work.,99158511470001400,0364-3107,1544-4376,,
"Adolescent health, medicine and therapeutics.",99157383320001400,,1179-318X,,
Adolescent medicine: state of the art reviews.,,1934-4287,,,
Adolescent psychiatry., ,2210-6766,2210-6774,,
Adoption and fostering.,99158191590001400,0308-5759,1740-469X,,
Adultspan journal.,99157805970001400,1524-6817,2161-0029,,
Advance for NPs & PAs., ,2325-6699,2325-6702,,
Advanced biosystems.,99162000843601400,2366-7478,,,
Advanced drug delivery reviews.,99161967638201400,0169-409X,1872-8294,,
Advanced emergency nursing journal.,99161941799301400,1931-4485,1931-4493,,
Advanced engineering materials.,99158528700001400,1438-1656,1527-2648,,
Advanced functional materials.,99158526850001400,1616-301X,1616-3028,,
Advanced healthcare materials.,99158523770001400,2192-2640,2192-2659,,
Advanced materials.,99158526970001400,0935-9648,1521-4095,,
Advanced pharmaceutical bulletin.,99157409430001400,2228-5881,2251-7308,,
"Advanced science, engineering and medicine.", ,2164-6627,2164-6635,,
Advanced science.,99161832453301400,,2198-3844,,
Advanced studies in nursing/the Institute for Johns Hopkins Nursing.,99158210730001400,1558-0172,1558-0180,,
Advanced studies in theoretical physics.,99162049927901400,,1313-1311,,
Advanced synthesis & catalysis.,99158526890001400,1615-4150,1615-4169,,
Advances and technical standards in neurosurgery.,,0095-4829,,,
Advances in alzheimer's disease., ,2210-5727,2210-5735,,
Advances in anatomic pathology.,99158506930001400,1072-4109,1533-4031,,
"Advances in anatomy, embryology, and cell biology.",,0301-5556,,,
Advances in anesthesia.,99158434840001400,0737-6146,1878-0415,,
Advances in animal biosciences.,99158450780001400,2040-4700,2040-4719,,
Advances in applied microbiology.,,0065-2164,,,
Advances in biochemical engineering/biotechnology., ,0724-6145,1616-8542,,
Advances in biological regulation.,99161967531301400,2212-4926,2212-4934,,
Advances in cancer research.,,0065-230X,,,
Advances in carbohydrate chemistry and biochemistry.,,0065-2318,,,
Advances in cardiology., ,0065-2326,1662-2839,,
Advances in cell biology.,99160861000001400,0324-833X,2080-2218,,
Advances in child development and behavior.,,0065-2407,,,
Advances in chromatography.,,0065-2415,,,
Advances in chronic kidney disease.,99158434110001400,1548-5595,1548-5609,,
Advances in clinical and experimental medicine.,,1899-5276,,,
Advances in clinical chemistry.,,0065-2423,,,
Advances in colloid and interface science.,99161967632401400,0001-8686,1873-3727,,
Advances in delivery science and technology.,,2192-6204,,,
Advances in dental research.,99157751070001400,0895-9374,1544-0737,,
Advances in developmental biology., ,1574-3349,1875-5275,,
Advances in digestive medicine.,99161871075001400,2351-9797,2351-9800,,
Advances in enzymology and related areas of molecular biology., ,0065-258X,1934-4694,,
Advances in experimental medicine and biology., ,0065-2598,2214-8019,,
Advances in food and nutrition research.,,1043-4526,,,
Advances in genetics.,,0065-2660,,,
Advances in genome science.,,2213-6606,,,
Advances in gerontology.,,1561-9125,,,
Advances in health care management.,,1474-8231,,,
Advances in health economics and health services research.,,0731-2199,,,
Advances in health sciences education : theory and practice.,99158514490001400,1382-4996,1573-1677,,
Advances in hematology.,99157364200001400,1687-9104,1687-9112,,
Advances in immunology., ,0065-2776,1557-8445,,
Advances in integrative medicine.,99161846355601400,2212-9588,2212-9596,,
Advances in life course research., ,1569-4909,1879-6974,,
Advances in marine biology.,99161967422401400,0065-2881,,,
Advances in medical sciences.,99157370190001400,1896-1126,1898-4002,,
Advances in microbial physiology.,,0065-2911,,,
Advances in mind-body medicine.,99158313320001400,1470-3556,1532-1843,,
Advances in molecular toxicology., ,1872-0854,2212-2044,,
Advances in neonatal care.,99161941798001400,1536-0903,1536-0911,,
Advances in neurobiology.,,0270-0794,,,
Advances in neuroimmune biology., ,1878-948X,1878-9498,,
Advances in nutrition.,99160210000001400,2161-8313,2156-5376,,
Advances in optics and photonics.,99158507740001400,,1943-8206,,
Advances in orthopedics.,,2090-3472,,,
Advances in oto-rhino-laryngology., ,0065-3071,1662-2847,,
Advances in parasitology.,,0065-308X,,,
Advances in pediatrics.,99158434180001400,0065-3101,1878-1926,,
Advances in peritoneal dialysis.,99157511170001400,1197-8554,,,
Advances in pharmacological sciences.,99157379960001400,1687-6334,1687-6342,,
Advances in pharmacology., ,1054-3589,1557-8925,,
Advances in physiology education.,99157348940001400,1043-4046,1522-1229,,
Advances in physiotherapy.,99157806470001400,1403-8196,1651-1948,,
"Advances in predictive, preventive and personalised medicine.", ,2211-3495,2211-3509,,
Advances in protein chemistry and structural biology.,,1876-1623,,,
Advances in psychiatric treatment.,99162001460001400,1355-5146,1472-1481,,
Advances in psychosomatic medicine., ,0065-3268,1662-2855,,
Advances in radiation oncology.,99161967473301400,,2452-1094,,
Advances in skin & wound care.,99161941796101400,1527-7941,1538-8654,,
Advances in speech-language pathology.,99158193530001400,1441-7049,1742-9528,,
Advances in surgery.,99158431980001400,0065-3411,1878-0555,,
Advances in therapy., ,0741-238X,1865-8652,,
Advances in virus research., ,0065-3527,1557-8399,,
Advances in wound care.,99157769990001400,2162-1918,2162-1934,,
Adverse drug reaction bulletin.,99158507620001400,0044-6394,2159-7774,,
Aerobiologia., ,0393-5965,1573-3025,,
Aerosol science and technology.,99157519200001400,0278-6826,1521-7388,,
Aerospace medicine and human performance.,99161857358801400,2375-6314,2375-6322,,
Aesthetic plastic surgery.,99158518190001400,0364-216X,1432-5241,,
Aesthetic surgery journal.,99161865830201400,1090-820X,1527-330X,,
African health sciences.,99157213090001400,1680-6905,,,
African journal of AIDS research.,99157844840001400,1608-5906,1727-9445,,
African journal of biomedical research.,99157212370001400,1119-5096,,,
African journal of clinical and experimental microbiology.,,1595-689X,,,
African journal of diabetes medicine.,99157877310001400,2042-8545,2053-4787,,
African journal of emergency medicine.,99161967133701400,2211-419X,,,
African journal of infectious diseases.,99161771335901400,2006-0165,,,
African journal of laboratory medicine.,99157417250001400,2225-2002,2225-2010,,
African journal of medicine and medical sciences.,,0309-3913,,,
African journal of neurological sciences.,99157213020001400,1015-8618,1992-2647,,
African journal of paediatric surgery : AJPS.,99157367240001400,0189-6725,0974-5998,,
African journal of primary health care & family medicine.,99157380390001400,2071-2928,2071-2936,,
African journal of psychiatry. .,99161967951401400,1994-8220,,,
African journal of reproductive health.,99157212700001400,1118-4841,,,
African journal of respiratory medicine.,99157854300001400,1747-5597,2053-2512,,
"African journal of traditional, complementary and alternative medicines.",99157212870001400,,0189-6016,,
African journal of urology.,99161967532701400,1110-5704,,,
Age.,99161771335801400,0161-9152,1574-4647,,
Age and ageing.,99157649830001400,0002-0729,1468-2834,,
Ageing research.,99157388080001400,2036-7384,2036-7376,,
Ageing research reviews.,99158432470001400,1568-1637,1872-9649,,
Aggression and violent behavior.,99158433410001400,1359-1789,1873-6335,,
Aggressive behavior.,99157807190001400,0096-140X,1098-2337,,
Aging.,99158798630001400,,1945-4589,,
Aging & mental health.,99157805700001400,1360-7863,1364-6915,,
Aging and disease.,99157389030001400,,2152-5250,,
Aging cell.,99157780200001400,1474-9718,1474-9726,,
Aging clinical and experimental research.,99161860634901400,1594-0667,1720-8319,,
Aging health., ,1745-509X,1745-5103,,
Aging male.,99157807150001400,1368-5538,1473-0790,,
AI communications.,99157806210001400,0921-7126,1875-8452,,
AIDS.,99157622710001400,0269-9370,1473-5571,,
AIDS and behavior.,99158517770001400,1090-7165,1573-3254,,
AIDS care: Psychological and socio-medical aspects of AIDS/HIV.,99157806300001400,0954-0121,1360-0451,,
AIDS education and prevention.,99157805720001400,0899-9546,,,
AIDS patient care and STDs.,99157751970001400,1087-2914,1557-7449,,
AIDS policy & law.,99161898914901400,0887-1493,,,
AIDS reader.,,1053-0894,,,
AIDS research and human retroviruses.,99157751620001400,0889-2229,1931-8405,,
AIDS research and therapy.,99157211030001400,,1742-6405,,
AIDS reviews.,99157478870001400,1139-6121,,,
Air medical journal.,99158431610001400,1067-991X,1532-6497,,
AJOB empirical bioethics.,99161482930001400,2329-4515,2329-4523,,
"AJOB neuroscience,.",99158512060001400,2150-7740,2150-7759,,
AJP reports.,99161766513101400,2157-6998,2157-7005,,
AJS:  American journal of sociology.,99157675480001400,0002-9602,1537-5390,,
Akademik acil tip olgu sunumlari dergisi.,99157394060001400,1309-534X,2146-2925,,
Aktuality v nefrologii.,,1210-955X,,,
Aktualni gynekologie a porodnictvi.,99157407210001400,,1803-9588,,
Aktualnosci neurologiczne.,,1641-9227,,,
Aktuelle dermatologie.,99158511200001400,0340-2541,1438-938X,,
Aktuelle ernahrungsmedizin.,99158530590001400,0341-0501,1438-9916,,
Aktuelle neurologie.,99158511410001400,0302-4350,1438-9428,,
Aktuelle neurologie. Supplement., ,1437-2754,1611-7697,,
Aktuelle rheumatologie. .,99158530930001400,0341-051X,1438-9940,,
Aktuelle rheumatologie. Supplement.,,1433-7940,,,
Aktuelle urologie.,99158511430001400,0001-7868,1438-8820,,
Akusherstvo i ginekologii‘?Üa‘?∞.,,0324-0959,,,
Alabama nurse.,99158192710001400,,0002-4317,,
Alaska medicine.,,0002-4538,,,
Alaska nurse.,99158192720001400,,0002-4546,,
Albany law review.,99157805060001400,0002-4678,,,
Alberta RN.,99158193580001400,1481-9988,,,
Alcohol.,99158436450001400,0741-8329,1873-6823,,
Alcohol and alcoholism.,99157505810001400,0735-0414,1464-3502,,
Alcohol health and research world.,99157800350001400,,0090-838X,,
Alcohol research & health: the journal of the National Institute on Alcohol Abuse and Alcoholism.,99157347550001400,1535-7414,1930-0573,,
Alcohol research : current reviews.,99157793230001400,2168-3492,2169-4796,,
Alcoholism., ,0002-502X,1330-6170,,
Alcoholism & drug abuse weekly.,99157806950001400,1042-1394,1556-7591,,
Alcoholism treatment quarterly.,99161950129201400,0734-7324,1544-4538,,
Alcoholism: clinical and experimental research.,99158528480001400,0145-6008,1530-0277,,
Alergia astma immunologia.,99157847430001400,1427-3101,,,
Alergie.,99157621730001400,1212-3536,,,
Alergologia Polska - Polish journal of allergology.,99161967433701400,2353-3854,,,
Alexandria journal of medicine.,99157439540001400,2090-5068,,,
Alimentary pharmacology & therapeutics symposium series: AP&Tss.,99157807080001400,1746-6334,1746-6342,,
Alimentary pharmacology and therapeutics.,99157807080001400,0269-2813,1365-2036,,
Alkaloids. chemistry and biology.,,1099-4831,,,
Allergo journal., ,0941-8849,2195-6405,,
Allergologia et immunopathologia.,99161779189401400,0301-0546,1578-1267,,
Allergologie.,,0344-5062,,,
Allergology international.,99157359930001400,1323-8930,1440-1592,,
Allergy.,99157779990001400,0105-4538,1398-9995,,
Allergy and asthma proceedings.,99157770690001400,1088-5412,1539-6304,,
"Allergy, asthma and clinical immunology.",99157212270001400,1710-1484,1710-1492,,
"Allergy, asthma and immunology research.",99157671400001400,2092-7355,2092-7363,,
Allergy: European journal of allergy and clinical immunology.,99157779990001400,0105-4538,1398-9995,,
Alpha omegan.,,0002-6417,,,
Alter.,99161974744701400,1875-0672,1875-0680,,
Alternative & complementary therapies. Society of Integrative Medicine.,99158191450001400,1076-2809,1557-9085,,
Alternative medicine review.,99157859650001400,1089-5159,2169-1509,,
Alternative medicine studies.,99157397930001400,2038-9477,2038-9485,,
Alternative therapies in health and medicine.,99161966796301400,1078-6791,,,
Alternative therapies in women's health.,,,1522-3396,,
Altex.,99158670640001400,1868-596X,1868-8551,,
Alzheimer disease and associated disorders.,99158507670001400,0893-0341,1546-4156,,
Alzheimer's and dementia.,99158435260001400,1552-5260,1552-5279,,
"Alzheimer's and dementia: diagnosis, assessment and disease monitoring.",99161871078101400,,2352-8729,,
Alzheimer's and dementia: Translational research and clinical interventions.,99161871084801400,,2352-8737,,
Alzheimer's care quarterly.,,,1550-3240,,
Alzheimer's care today.,99161941798701400,1936-3001,1936-6760,,
Alzheimer's disease research journal.,,1935-2514,,,
Alzheimer's research and therapy.,99157228930001400,,1758-9193,,
AMA journal of ethics.,,,2376-6980,,
AMB express.,99157229540001400,,2191-0855,,
Ambio.,99158308470001400,0044-7447,1654-7209,,
Ambix.,99157806790001400,0002-6980,,,
Ambulatory child health: the journal of general and community pediatrics.,99157806930001400,1355-5626,1467-0658,,
Ambulatory pediatrics: the official journal of the Ambulatory Pediatric Association.,99158193660001400,1530-1567,1539-4409,,
Ambulatory surgery.,99157626430001400,0966-6532,,,
American annals of the deaf.,99158193450001400,0002-726X,,,
American documentation.,99157888150001400,0096-946X,1936-6108,,
American economic review.,99157674660001400,0002-8282,,,
American family physician.,99157594280001400,0002-838X,1532-0650,,
American health and drug benefits.,99158210870001400,1942-2962,1942-2970,,
American Heart Hospital journal.,99157618070001400,1541-9215,1751-7168,,
American heart journal.,99158433270001400,0002-8703,1097-6744,,
American Indian and Alaska native mental health research.,,,1533-7731,,
American journal of Alzheimer's Disease and other dementias.,99158501190001400,1533-3175,1938-2731,,
American journal of audiology.,99157806740001400,1059-0889,1558-9137,,
American journal of biochemistry and biotechnology.,99157345040001400,1553-3468,,,
American journal of biochemistry and molecular biology.,99157762310001400,2150-4210,2150-4253,,
American journal of bioethics : AJOB.,99157805660001400,1526-5161,1536-0075,,
American journal of blood research.,99157399500001400,,2160-1992,,
American journal of botany.,99157650080001400,0002-9122,1537-2197,,
American journal of cancer.,99161787686901400,0099-7374,,,
American journal of cancer research.,99157385340001400,,2156-6976,,
American journal of cardiology.,99158435870001400,0002-9149,1879-1913,,
American journal of cardiovascular disease.,99157399510001400,,2160-200X,,
"American journal of cardiovascular drugs: drugs, devices, and other interventions.",99158518110001400,1175-3277,1179-187X,,
American journal of case reports.,99157630310001400,,1941-5923,,
American journal of Chinese medicine.,99157805610001400,0192-415X,,,
American journal of clinical and experimental immunology.,99157418120001400,,2164-7712,,
American journal of clinical dermatology.,99157806520001400,1175-0561,1179-1888,,
American journal of clinical hypnosis., ,0002-9157,2160-0562,,
American journal of clinical nutrition. American Society for nutrition & American Society for Clinical Nutrition.,99157513590001400,0002-9165,1938-3207,,
American journal of clinical oncology: cancer clincal trials.,99158507150001400,0277-3732,1537-453X,,
American journal of clinical pathology. American Society of Clinical Pathologists.,99157649350001400,0002-9173,1943-7722,,
American journal of community psychology.,99158269050001400,0091-0562,1573-2770,,
"American journal of critical care : an official publication, American Association of Critical-Care Nurses.",99157491110001400,1062-3264,1937-710X,,
American journal of dentistry.,,0894-8275,,,
American journal of dermatopathology.,99158506340001400,0193-1091,1533-0311,,
American journal of disaster medicine.,,1932-149X,,,
American journal of drug and alcohol abuse.,99157807240001400,0095-2990,1097-9891,,
